track_id,popularity,duration_ms,danceability,energy,loudness,instrumentalness,valence,tempo,track_genre
6xKeQgzfjixSUld14qUezm,56,129750,0.706,0.112,-18.098,4.03e-06,0.414,110.154,acoustic
4v0RBzYNzTknP6d0zN2VQb,51,108346,0.735,0.203,-13.237,0.00164,0.479,113.913,acoustic
1YnLthg0HOs8YTzgN5hVh2,55,136542,0.658,0.125,-15.901,0.0,0.507,106.686,acoustic
2E3ObBU2VIrTYOYh8tvi0x,47,147809,0.789,0.261,-14.396,0.0,0.491,117.961,acoustic
1DxwWEVXzZB2IqGxI6GYRK,25,142363,0.773,0.208,-9.482,0.0,0.538,109.822,acoustic
1hLvWelTny8vttEEZIXVjw,44,220800,0.776,0.314,-9.513,0.000723,0.476,124.055,afrobeat
4XlevPQOF6GkZCS2yWOkNn,48,166320,0.721,0.0963,-15.973,1.03e-06,0.576,124.868,acoustic
2R6CGc2eQJjuVEbH1eUZjq,48,119423,0.676,0.118,-11.443,0.0,0.517,103.948,acoustic
2C9ePPz58he8jmYEod9pvT,54,145771,0.69,0.306,-9.193,0.0,0.424,115.671,acoustic
4H7MpMZ4p3Cc06B11bcgL7,50,171760,0.666,0.289,-12.404,8.2e-06,0.415,109.965,acoustic
4khjcb6Mpegp1N596VVyf6,54,145514,0.724,0.28,-12.788,0.0,0.527,106.966,acoustic
0iAkkPHwTkS1nC2vbcw3Ms,26,317146,0.747,0.294,-10.272,2.37e-05,0.412,119.948,acoustic
1ZrUkIAnUCZB7vlXxzrLrK,24,203000,0.868,0.367,-13.304,0.0066,0.522,130.038,afrobeat
7Ca2CkwSqHyr3eCh8IRdjz,41,156787,0.769,0.135,-12.049,0.905,0.471,103.939,acoustic
6huS9u0BDfeQHq0lObNLPl,64,200706,0.761,0.311,-10.597,0.0,0.553,109.891,acoustic
0BhmtRzdjNV0bQ5veUOazN,36,156923,0.778,0.445,-8.228,1.28e-06,0.502,130.01,acoustic
2TDVIt8rGuXEN6IvMIy5iW,47,189732,0.627,0.307,-6.994,0.0,0.471,104.669,acoustic
6qXJn6TJ6bTajeRdGApJ47,30,183159,0.801,0.423,-4.918,0.0106,0.468,139.987,afrobeat
0Wqht20X3ZII115vByDReU,9,463920,0.764,0.282,-10.46,0.0833,0.504,135.736,afrobeat
39dhIbeOy13KQlVlLM0m8G,51,144644,0.595,0.0477,-14.672,0.0,0.513,118.162,acoustic
7aohwSiTDju51QmC54AUba,63,148400,0.698,0.285,-7.632,0.0,0.53,135.027,acoustic
